Log file open, 04/10/15 23:22:19
LogInit:Display: Running engine for game: OpenWorld1
LogInit: Version: 4.7.5-2503383+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Apr  6 2015 23:21:51
LogInit: Compiled with Visual C++: 18.00.21005.01
LogInit: Build Configuration: Development
LogInit: Branch Name: ++depot+UE4-Releases+4.7
LogInit: Command line: 
LogInit: Base directory: D:/Epic Games/4.7/Engine/Binaries/Win64/
LogInit: Rocket: 1
[2015.04.11-03.22.19:664][  0]LogTaskGraph: Started task graph with 3 named threads and 6 total threads.
[2015.04.11-03.22.19:735][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2015.04.11-03.22.19:756][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2015.04.11-03.22.19:768][  0]LogInit: Object subsystem initialized
[2015.04.11-03.22.19:774][  0]LogInit: Selected Device Profile: [Windows]
[2015.04.11-03.22.19:774][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2015.04.11-03.22.19:780][  0]LogInit: Computer: GRAPHICSSERVER
[2015.04.11-03.22.19:780][  0]LogInit: User: tyler
[2015.04.11-03.22.19:780][  0]LogInit: CPU Page size=4096, Cores=4
[2015.04.11-03.22.19:780][  0]LogInit: High frequency timer resolution =3.001600 MHz
[2015.04.11-03.22.19:780][  0]LogMemory: Memory total: Physical=16.0GB (16GB approx) Virtual=131072.0GB
[2015.04.11-03.22.19:780][  0]LogMemory: Platform Memory Stats for Windows
[2015.04.11-03.22.19:780][  0]LogMemory: Process Physical Memory: 45.54 MB used, 45.54 MB peak
[2015.04.11-03.22.19:780][  0]LogMemory: Process Virtual Memory: 24.59 MB used, 24.62 MB peak
[2015.04.11-03.22.19:781][  0]LogMemory: Physical Memory: 3018.48 MB used, 16375.11 MB total
[2015.04.11-03.22.19:781][  0]LogMemory: Virtual Memory: 289.21 MB used, 134217728.00 MB total
[2015.04.11-03.22.19:792][  0]LogD3D11RHI: Found D3D11 adapter 0: AMD Radeon HD 5700 Series (Feature Level 11_0)
[2015.04.11-03.22.19:792][  0]LogD3D11RHI: Adapter has 1005MB of dedicated video memory, 0MB of dedicated system memory, and 7936MB of shared system memory, 2 output[s]
[2015.04.11-03.22.19:793][  0]LogD3D11RHI: Found D3D11 adapter 1: Microsoft Basic Render Driver (Feature Level 11_0)
[2015.04.11-03.22.19:793][  0]LogD3D11RHI: Adapter has 0MB of dedicated video memory, 0MB of dedicated system memory, and 256MB of shared system memory, 0 output[s]
[2015.04.11-03.22.19:793][  0]LogD3D11RHI: Chosen D3D11 Adapter Id = 0
[2015.04.11-03.22.19:796][  0]LogRHI: Texture pool is 704 MB (70% of 1005 MB)
[2015.04.11-03.22.19:800][  0]LogD3D11RHI: Async texture creation disabled: no driver support
[2015.04.11-03.22.19:861][  0]LogTextLocalizationManager: The requested culture ('en_US') has no localization data; parent culture's ('en') localization data will be used.
[2015.04.11-03.22.19:933][  0]LogTextLocalizationManager:Warning: Loading localization resources contain conflicting entries for (Namespace:UICommands, Key:Save_ToolTip):
Resource: (D:/Epic Games/4.7/Engine/Content/Localization/Editor/en/Editor.locres) Hash: (-29098895) String: (Saves the current level to disk)
Resource: (D:/Epic Games/4.7/Engine/Content/Localization/Engine/en/Engine.locres) Hash: (-1280300587) String: (Save selected data to vlog file)
[2015.04.11-03.22.19:934][  0]LogTextLocalizationManager:Warning: Loading localization resources contain conflicting entries for (Namespace:ContentBrowser, Key:ImportAssetToolTip):
Resource: (D:/Epic Games/4.7/Engine/Content/Localization/Editor/en/Editor.locres) Hash: (-630476809) String: (Import to {0}...)
Resource: (D:/Epic Games/4.7/Engine/Content/Localization/Editor/en/Editor.locres) Hash: (1271782899) String: (Imports an asset from file to this folder.)
[2015.04.11-03.22.20:022][  0]LogContentStreaming: Texture pool size is 0.000000MB
[2015.04.11-03.22.22:595][  0]LogTargetPlatformManager:Display: Building Assets For Windows
